unit,na_item,geo\time	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
CLV_PCH_PRE_HAB,B1GQ,IE	8.0 	3.7 	4.1 	1.3 	4.9 	3.4 	2.3 	2.2 	-6.5 	-6.0 	1.2 	0.4 	-0.4 	0.6 	7.9 	23.2 	0.9 	7.8 	7.2 	4.0 	5.1 	12.7 	9.9 
CLV_PCH_PRE_HAB,B1GQ,IS	3.5 	2.6 	-0.3 	1.5 	6.6 	4.9 	3.4 	6.0 	-0.4 	-7.6 	-2.5 	1.5 	0.5 	3.6 	0.6 	3.4 	4.8 	1.8 	2.1 	-0.4 	-8.7 	2.7 	3.8 
CLV_PCH_PRE_HAB,B1GQ,IT	3.7 	1.9 	0.1 	-0.4 	0.7 	0.2 	1.4 	0.9 	-1.7 	-5.8 	1.3 	0.4 	-3.2 	-2.0 	0.0 	0.9 	1.5 	1.9 	1.1 	0.7 	-8.5 	7.5 	4.0 
CLV_PCH_PRE_HAB,B1GQ,LT	4.4 	7.4 	7.6 	11.5 	7.8 	9.5 	9.1 	12.4 	3.7 	-13.9 	3.8 	8.5 	5.2 	4.6 	4.4 	3.0 	3.8 	5.8 	5.0 	4.9 	0.0 	5.5 	1.0 
CLV_PCH_PRE_HAB,B1GQ,LU	5.6 	1.9 	2.1 	1.3 	2.8 	0.9 	4.4 	6.4 	-2.0 	-5.0 	1.9 	-1.3 	-0.7 	0.6 	0.2 	0.3 	2.3 	-0.9 	-0.7 	0.2 	-2.3 	3.5 	-0.7 p
CLV_PCH_PRE_HAB,B1GQ,LV	6.7 	7.7 	8.4 	9.5 	9.5 	11.9 	13.0 	10.8 	-2.2 	-12.8 	-2.4 	4.5 	8.4 	3.1 	2.9 	4.8 	3.3 	4.3 	4.8 	3.3 	-1.7 	5.3 	2.6 
CLV_PCH_PRE_HAB,B1GQ,ME	: 	: 	: 	: 	: 	: 	: 	6.7 	7.0 	-6.0 	2.5 	3.1 	-2.8 	3.4 	1.7 	3.3 	2.9 	4.7 	5.1 	4.1 	-15.2 	13.4 	: 
CLV_PCH_PRE_HAB,B1GQ,MK	: 	-3.5 e	2.2 e	1.9 e	4.4 e	4.5 e	5.0 e	6.3 e	5.3 e	-0.5 e	3.1 e	2.2 e	-0.6 e	2.8 e	3.5 e	3.7 e	2.7 e	1.0 e	2.8 e	3.9 e	-4.5 e	: 	: 
CLV_PCH_PRE_HAB,B1GQ,MT	: 	-2.0 	1.8 	3.4 	-0.5 	2.7 	2.1 	4.4 	3.2 	-1.9 	5.0 	0.0 	3.2 	4.0 	5.5 	7.0 	1.0 	7.8 	2.7 	2.7 	-10.6 	11.1 	4.7 
CLV_PCH_PRE_HAB,B1GQ,NL	3.4 	1.6 	-0.4 	-0.3 	1.6 	1.8 	3.3 	3.5 	1.8 	-4.2 	0.8 	1.1 	-1.4 	-0.4 	1.1 	1.5 	1.7 	2.3 	1.8 	1.3 	-4.4 p	4.3 p	3.5 p
